MIDWEST GRAIN FUTURES 11:31 EDT|MINNEAPOLIS WHEAT MAY7 285 UP 1 1/2 JUL7 281 UP 1/4 SEP7 277 UP 1 DEC7 -- -- MAR8 -- --
DOLLAR CLOSES LITTLE CHANGED IN FRANKFURT|The dollar closed virtually unchanged from yesterday's finish, but near the day's high after another extremely quiet session. With the G-5 meeting in Washington ahead of this week's IMF interim committee, traders remained reluctant to open any large positions. Towards the end of the day the dollar firmed after failing earlier to hold beneath 1.82 marks. Some dealers said Senate testimony from Fed Chairman Paul Volcker also lent support. The dollar closed at 1.8265/75 marks after opening at 1.8200/15 and closing yesterday at 1.8260/70. Volcker said that a further sizeable dollar decline could be counter-productive, and that exchange rate adjustments have been enough to narrow the U.S. Trade deficit. Such remarks in the past might have moved the dollar sharply, today they only pushed it up 20 or 30 basis points when it was already firming for technical reasons. The dollar in any case held in a narrow range today, trading early in the morning just below 1.82 marks and rising to a high of 1.8270. Dealers said they were awaiting comments after the G-5 meeting from U.S. Treasury Secretary James Baker. Looking slightly further ahead, the market is awaiting U.S. February trade data, due on April 14. Another set of disappointing figures could push the dollar below its recent 1.80-85 mark range if there have been no supportive statements from G-5 officials in Washington in the meantime, dealers said. Sterling closed slightly easier at 2.950/954 marks, after opening at 2.951/955 and closing yesterday at 2.954/958. The pound has been buoyed by expectations the ruling Conservatives will win the next U.K. Election. But dealers said sterling now looks high against the mark and room for further gains must be limited. Many dealers believe sterling will enter the EMS joint float after a U.K. Election. In this case, its ceiling could well be at or near 2.95 marks, dealers said. The yen closed at 1.2550/70 marks per 100 after closing yesterday at 1.2490/2510, and the Swiss franc firmed to 120.55/70 marks per 100 from 120.10/50. The French franc ended unchanged at 30.04/07 marks per 100. REUTER
ITALY'S ENI TO INVEST IN VENEZUELAN PROJECTS|Italy's state-owned Ente Nazionale Idrocarburi (ENI) will invest 197 mln dlrs in two joint ventures in coal and petrochemicals with Petroleos de Venezuela, S.A, ENI president Franco Reviglio said. Speaking at a news conference, Reviglio said the two projects will eventually bring in some 300 mln dlrs annually in foreign exchange to Venezuela and help diversify the country's export base. "Joint ventures are the principal instrument for allowing the resources of the industrialized countries to be channeled to the developing world so as to lead future growth for both," Reviglio said. ENI's subsidiary Ecofuel will join Pequiven, the petrochemical subsidiary of PDVSA in building a 160 mln dlr plant to produce mtbe, a gasoline additive used to increase octane levels. The 500,000 mt per year plant will be constructed at Jose in eastern Venezuela, and fed by butane produced at PDVSA's eastern cryogenic complex. ENI owns 48 pct of the joint venture company, Super Octanos, C.A., while Pequiven has 49 pct, with the remaining three pct to be sold to private investors. Production is set to begin in third quarter 1989. Ecofuel officials said the plant is modeled after one in Saudi Arabia. Another ENI subsidiary, Agip Carbone, will sign a letter of intent in Caracas tomorrow to enter a partnership with PDVSA to mine the coal deposits at guasare in western zulia state, he said. Feasibility studies are still being done on the carbozulia project, with a definitive accord slated for august, he added. Agip carbone and atlantic richfield coal, an arco subsidiary have formed a consortium which will own 48 pct of the carbozulia project, whose total cost is estimated at 500 mln dlrs, the company said. Agip carbone will invest 24 pct, or 120 mln dlrs, in the project, it said. Reuter
U.K. INTERVENTION BOARD DETAILS EC SUGAR SALES|A total 118,350 tonnes of current series white sugar received export rebates of a maximum 46.496 European Currency Units (Ecus) per 100 kilos at today's European Community (EC) tender, the U.K. Intervention Board said. Out of this, traders in the U.K. Received 37,800 tonnes, in France 34,500, in West Germany 20,000, in Belgium 18,500, in Spain 5,800 and in Denmark 1,750 tonnes, it added. Earlier today, London traders had declined to give a projected view on the level of subsidy although some said total tonnage awards would be around 60,000 tonnes. Paris traders foresaw between 60,000 and 100,000 tonnes being authorised for export at a 46.40/46.50 Ecu subsidy. Cumulative sales authorisations for the current season (1986/87) now stand at 2,194,970 tonnes (43 weeks). Last week saw 102,350 tonnes whites authorised for export under licences to end-Sep at the higest ever rebate of 46.864 European Currency Units (Ecus) per 100 kilos. REUTER
bBANK OF CANADA DOLLAR STERLING RATES|The Bank of Canada said the U.S. dollar at soon was 1.3053 compared to 1.3074 dollars yesterday. The pound sterling rates at noon 2.1130 compared to 2.1147 yesterday.
SUMMER/WINTER TIME CHANGES.|ISRAEL INTRODUCES SUMMER TIME.
BELL GROUP CONFIRMS STANDARD CHARTERED STAKE|The Bell Group Ltd <BLLA.S> said it now holds 14.9 pct of the issued capital of Standard Chartered Plc <STCH.L> after acquiring further shares. The one-sentence statement from Bell's headquarters confirmed what its brokers Warburg Securities told Reuters in London yesterday. Bell previously held 10 pct of Standard. Bell chairman Robert Holmes a Court, who is also a director of Standard, was not available for comment on his company's intentions in boosting its holding and other company officials contacted here by Reuters declined to comment. REUTER
TAP AIR PORTUGAL SIGNS CONTRACT FOR AIRBUS|TAP Air Portugal said it signed a contract for three <Airbus Industrie> A310-300 aircraft, confirming a commitment made in January. Air Portugal said it has taken options on two further aircraft which may be either A310-300s or A340s. Reuter
AMEX STOCK PRICES CLOSE LOWER|Prices on the American Stock Exchange closed lower in active trading. The AMEX Index fell 0.59 to 341.64. The Average price per share was three cts lower Declines led advances 326 to 282 AMEX volume rose to 14,224,710 shares from 12,855,230 yesterday. Options volume was 345,250 compared to 324,863 yesterday. Reuter
PORTUGUESE AIRLINE CONFIRMS AIRBUS A310 ORDER|Portugal's "flag carrier" airline TAP has confirmed an order for three Airbus Industrie <AINP.PA> A310-300 passenger aircraft, British Aerospace Plc <BAEL.L> (BAe), one of four shareholders in the international Airbus consortium, said. BAe said in a statement TAP had also taken options on another two Airbus aircraft, either the existing A310-300 medium range craft or the long-range four-engined A340 which Airbus hopes to launch in 1992, depending on the airline's needs. BAe said the firm order confirmed a commitment taken by TAP in January. Details of the value of the contract, delivery dates or which engine would power the aircraft were not available. Reuter
SIOUX CITY HOGS STEADY/UP 1.25 DLR - USDA|barrow and gilt prices were mostly 1.00 dlr higher, instances up 1.25, few early sales steady to up 0.50 dlr, in active trade, the usda said. top 51.50 dlrs per cwt. us 1-3 220-260 lbs near 275 head 51.75. us 1-3 220-260 lbs 51.00-51.50, near 360 head early 50.50-51.00 and 200-220 lbs 50.00-51.00. sows - up 2.00 dlrs. us 1-3 500-650 lbs 47.50-48.00. Reuter
GERMAN INDUSTRIAL EMPLOYMENT SEEN STAGNATING|The number of workers employed in the West German industrial sector stagnated in the last quarter of 1986 as a 50,000 increase in overall employment benefited only the services branch, the DIW economic institute said. A DIW report added the general downturn in the economy since last Autumn had had a negative effect on the willingness of firms to take on workers. It referred to a marked downturn in the number of workers taken on in the capital goods sector. New orders for manufacturing industry goods have mostly fallen or stagnated in recent months, but data for February finally showed a reversal of the trend, with a 1.9 pct rise. REUTER
CHINA DAILY SAYS VERMIN EAT 7-12 PCT GRAIN STOCKS|A survey of 19 provinces and seven cities showed vermin consume between seven and 12 pct of China's grain stocks, the China Daily said. It also said that each year 1.575 mln tonnes, or 25 pct, of China's fruit output are left to rot, and 2.1 mln tonnes, or up to 30 pct, of its vegetables. The paper blamed the waste on inadequate storage and bad preservation methods. It said the government had launched a national programme to reduce waste, calling for improved technology in storage and preservation, and greater production of additives. The paper gave no further details. REUTER
FRENCH FEBRUARY CAR OUTPUT UP 27.2 PCT|February car production totalled 269,745 this year, up 27.2 pct on a year-on-year basis, the Automobile Constructors' Association (CSCA) said. This brought total car output in the first two months of the year to 504,266, a 14.1 pct year-on-year rise, it said. REUTER
HIGHWOOD <HIWDF> COMMENTS ON SHARE PRICE RISE|Highwood Resources Ltd said it is not aware of any material change in the company's affairs to account for recent trading activity in the company's shares, but said it anticipates being a future producer of minerals used in electronic superconductors. Recent widespread publicity concerning superconductors suggest a greatly increased demand for yttrium and lanthanide minerals, Highwood said. The company said it is developing such deposits at Thor Lake, Northwest Territories in cooperation with Hecla Mining Co, of Idaho. Highwood Resources said the deposits contain beryllium, yttrium, lanthanides, niobium and tantalum. It did not immediately elaborate on estimated reserves on the property. Highwood shares traded earlier on the Toronto Stock Exchange at 6-7/8, up 1/8, after climbing 1-1/8 in yesterday's session. Reuter
